frequency,wind_speed,distance,wind_direction,flow_resistivity,Nord2000 (delhom),Acventum (delhom),BE2 (Iso9613),Iso9613 (windPro),Nord2000 (windPro)
10000,7,500,180,12.5,-34.2,-486.28,-86.368,-56.69,-73.16
50,9,500,0,12.5,0.6,3.153,2.875,2.933,-1.057
63,9,500,0,12.5,-2.7,3.133,2.841,2.933,-2.657
80,9,500,0,12.5,0.4,3.103,2.75,2.933,-4.057
100,9,500,0,12.5,0.3,0.073,-3.312,-3.247,-3.957
125,9,500,0,12.5,0.3,0.013,-3.457,-3.247,-1.857
160,9,500,0,12.5,0.3,-0.067,-3.605,-3.247,0.443
200,9,500,0,12.5,0.2,-0.167,-6.585,-6.607,1.943
250,9,500,0,12.5,0.1,-0.287,-6.726,-6.607,2.043
315,9,500,0,12.5,0.1,-0.427,-6.945,-6.607,-0.157
400,9,500,0,12.5,0,-0.577,-3.348,-3.407,-3.757
500,9,500,0,12.5,-0.1,-0.737,-3.524,-3.407,-0.157
630,9,500,0,12.5,-0.2,-0.917,-3.756,-3.407,0.043
800,9,500,0,12.5,-0.3,-1.147,-1.933,-2.217,-2.157
1000,9,500,0,12.5,-0.5,-1.437,-2.357,-2.217,-1.557
1250,9,500,0,12.5,-0.7,-1.867,-2.948,-2.217,-2.257
1600,9,500,0,12.5,-1.1,-2.597,-3.638,-4.847,-3.157
2000,9,500,0,12.5,-1.7,-3.627,-5.057,-4.847,-4.557
2500,9,500,0,12.5,-2.6,-5.217,-7.128,-4.847,-6.757
3150,9,500,0,12.5,-3.6,-7.807,-10.556,-15.467,-10.057
4000,9,500,0,12.5,-5.4,-12.027,-15.727,-15.467,-15.257
5000,9,500,0,12.5,-8.6,-18.197,-24.106,-15.467,-23.057
6300,9,500,0,12.5,-13.5,-28.027,-36.736,-55.277,-34.557
8000,9,500,0,12.5,-21.3,-43.707,-56.146,-55.277,-50.857
10000,9,500,0,12.5,-33.5,-65.647,-85.365,-55.277,-72.557
50,9,500,90,12.5,0.6,3.3,2.972,2.91,-0.56
63,9,500,90,12.5,-2.7,3.3,2.837,2.91,-1.06
80,9,500,90,12.5,0.4,3.29,2.847,2.91,-2.76
100,9,500,90,12.5,0.3,0.29,-3.215,-3.28,-4.86
125,9,500,90,12.5,0.3,0.28,-3.26,-3.28,-4.06
160,9,500,90,12.5,0.3,0.26,-3.408,-3.28,-1.66
200,9,500,90,12.5,0.2,0.24,-6.489,-6.65,-0.26
250,9,500,90,12.5,0.1,0.22,-6.629,-6.65,1.54
315,9,500,90,12.5,0.1,0.19,-6.848,-6.65,2.64
400,9,500,90,12.5,0,0.16,-3.251,-3.46,3.04
500,9,500,90,12.5,-0.1,0.13,-3.427,-3.46,2.34
630,9,500,90,12.5,-0.2,0.09,-3.759,-3.46,-0.16
800,9,500,90,12.5,-0.3,0.04,-1.936,-2.29,-2.86
1000,9,500,90,12.5,-0.5,-0.02,-2.36,-2.29,-1.56
1250,9,500,90,12.5,-0.7,-0.1,-2.851,-2.29,-2.06
1600,9,500,90,12.5,-1.1,-0.25,-3.641,-4.99,-2.96
2000,9,500,90,12.5,-1.7,-0.45,-5.06,-4.99,-4.36
2500,9,500,90,12.5,-2.6,-0.77,-7.131,-4.99,-6.56
3150,9,500,90,12.5,-3.6,-1.29,-10.559,-15.87,-9.96
4000,9,500,90,12.5,-5.4,-2.14,-15.93,-15.87,-15.16
5000,9,500,90,12.5,-8.6,-3.38,-24.309,-15.87,-23.06
6300,9,500,90,12.5,-13.5,-5.35,-37.139,-56.69,-34.76
8000,9,500,90,12.5,-21.3,-8.49,-56.849,-56.69,-51.26
10000,9,500,90,12.5,-33.5,-12.9,-86.368,-56.69,-73.16
50,9,500,180,12.5,0.7,8.08,2.972,2.91,-2.46
63,9,500,180,12.5,-1.8,7.93,2.837,2.91,-1.96
80,9,500,180,12.5,0.4,7.68,2.847,2.91,-1.16
100,9,500,180,12.5,0.3,4.36,-3.215,-3.28,-0.86
125,9,500,180,12.5,0.3,3.86,-3.26,-3.28,-1.66
160,9,500,180,12.5,0.3,3.12,-3.408,-3.28,-1.96
200,9,500,180,12.5,0.2,2.23,-6.489,-6.65,-1.16
250,9,500,180,12.5,0.1,1.16,-6.629,-6.65,-0.66
315,9,500,180,12.5,0.1,-0.06,-6.848,-6.65,-0.26
400,9,500,180,12.5,0,-1.45,-3.251,-3.46,0.14
500,9,500,180,12.5,-0.1,-2.83,-3.427,-3.46,0.34
630,9,500,180,12.5,-0.2,-4.44,-3.759,-3.46,0.34
800,9,500,180,12.5,-0.3,-6.51,-1.936,-2.29,-0.16
1000,9,500,180,12.5,-0.5,-9.11,-2.36,-2.29,-1.56
1250,9,500,180,12.5,-0.7,-12.92,-2.851,-2.29,-2.16
1600,9,500,180,12.5,-1.1,-19.41,-3.641,-4.99,-3.06
2000,9,500,180,12.5,-1.7,-28.6,-5.06,-4.99,-4.46
2500,9,500,180,12.5,-2.6,-42.82,-7.131,-4.99,-6.66
3150,9,500,180,12.5,-3.6,-65.88,-10.559,-15.87,-10.06
4000,9,500,180,12.5,-5.4,-103.54,-15.93,-15.87,-15.16
5000,9,500,180,12.5,-8.7,-158.53,-24.309,-15.87,-23.06
6300,9,500,180,12.5,-13.5,-246.19,-37.139,-56.69,-34.76
8000,9,500,180,12.5,-21.4,-385.96,-56.849,-56.69,-51.26
10000,9,500,180,12.5,-33.6,-581.6,-86.368,-56.69,-73.16
50,3,1000,0,12.5,-3.1,3.045,2.937,2.875,-0.395
63,3,1000,0,12.5,-3.4,3.005,2.903,2.875,-3.395
80,3,1000,0,12.5,-3,2.955,2.812,2.875,-3.995
