frequency,wind_speed,distance,wind_direction,flow_resistivity,Nord2000 (delhom),Acventum (delhom),BE2 (Iso9613),Iso9613 (windPro),Nord2000 (windPro),geometric_div
630,9,500,90,12.5,-0.1,0.09,-3.759,-3.46,-0.16,-65.05104356
800,9,500,90,12.5,-0.2,0.04,-1.936,-2.29,-2.86,-65.05104356
1000,9,500,90,12.5,-0.4,-0.02,-2.36,-2.29,-1.56,-65.05104356
1250,9,500,90,12.5,-0.6,-0.1,-2.851,-2.29,-2.06,-65.05104356
1600,9,500,90,12.5,-1,-0.25,-3.641,-4.99,-2.96,-65.05104356
2000,9,500,90,12.5,-1.6,-0.45,-5.06,-4.99,-4.36,-65.05104356
2500,9,500,90,12.5,-2.4,-0.77,-7.131,-4.99,-6.56,-65.05104356
3150,9,500,90,12.5,-3.7,-1.29,-10.559,-15.87,-9.96,-65.05104356
4000,9,500,90,12.5,-5.8,-2.14,-15.93,-15.87,-15.16,-65.05104356
5000,9,500,90,12.5,-9.2,-3.38,-24.309,-15.87,-23.06,-65.05104356
6300,9,500,90,12.5,-14.2,-5.35,-37.139,-56.69,-34.76,-65.05104356
8000,9,500,90,12.5,-21.8,-8.49,-56.849,-56.69,-51.26,-65.05104356
10000,9,500,90,12.5,-33.5,-12.9,-86.368,-56.69,-73.16,-65.05104356
50,9,500,180,12.5,0.5,8.08,2.972,2.91,-2.46,-65.05104356
63,9,500,180,12.5,1.7,7.93,2.837,2.91,-1.96,-65.05104356
80,9,500,180,12.5,0.3,7.68,2.847,2.91,-1.16,-65.05104356
100,9,500,180,12.5,0.3,4.36,-3.215,-3.28,-0.86,-65.05104356
125,9,500,180,12.5,0.3,3.86,-3.26,-3.28,-1.66,-65.05104356
160,9,500,180,12.5,0.2,3.12,-3.408,-3.28,-1.96,-65.05104356
200,9,500,180,12.5,0.2,2.23,-6.489,-6.65,-1.16,-65.05104356
250,9,500,180,12.5,0.1,1.16,-6.629,-6.65,-0.66,-65.05104356
315,9,500,180,12.5,0.1,-0.06,-6.848,-6.65,-0.26,-65.05104356
400,9,500,180,12.5,0,-1.45,-3.251,-3.46,0.14,-65.05104356
500,9,500,180,12.5,0,-2.83,-3.427,-3.46,0.34,-65.05104356
630,9,500,180,12.5,-0.1,-4.44,-3.759,-3.46,0.34,-65.05104356
800,9,500,180,12.5,-0.2,-6.51,-1.936,-2.29,-0.16,-65.05104356
1000,9,500,180,12.5,-0.4,-9.11,-2.36,-2.29,-1.56,-65.05104356
1250,9,500,180,12.5,-0.6,-12.92,-2.851,-2.29,-2.16,-65.05104356
1600,9,500,180,12.5,-1,-19.41,-3.641,-4.99,-3.06,-65.05104356
2000,9,500,180,12.5,-1.6,-28.6,-5.06,-4.99,-4.46,-65.05104356
2500,9,500,180,12.5,-2.4,-42.82,-7.131,-4.99,-6.66,-65.05104356
3150,9,500,180,12.5,-3.7,-65.88,-10.559,-15.87,-10.06,-65.05104356
4000,9,500,180,12.5,-5.8,-103.54,-15.93,-15.87,-15.16,-65.05104356
5000,9,500,180,12.5,-9.2,-158.53,-24.309,-15.87,-23.06,-65.05104356
6300,9,500,180,12.5,-14.2,-246.19,-37.139,-56.69,-34.76,-65.05104356
8000,9,500,180,12.5,-21.8,-385.96,-56.849,-56.69,-51.26,-65.05104356
10000,9,500,180,12.5,-33.5,-581.6,-86.368,-56.69,-73.16,-65.05104356
50,3,1000,0,12.5,0.2,3.045,2.937,2.875,-0.395,-71.03369117
63,3,1000,0,12.5,0.3,3.005,2.903,2.875,-3.395,-71.03369117
80,3,1000,0,12.5,0.2,2.955,2.812,2.875,-3.995,-71.03369117
100,3,1000,0,12.5,0.1,-0.115,-5.05,-5.185,-1.995,-71.03369117
125,3,1000,0,12.5,0,-0.235,-5.194,-5.185,1.305,-71.03369117
160,3,1000,0,12.5,-0.1,-0.395,-5.443,-5.185,2.805,-71.03369117
200,3,1000,0,12.5,-0.2,-0.595,-6.923,-7.205,1.105,-71.03369117
250,3,1000,0,12.5,-0.4,-0.835,-7.164,-7.205,-1.995,-71.03369117
315,3,1000,0,12.5,-0.6,-1.115,-7.583,-7.205,-0.695,-71.03369117
400,3,1000,0,12.5,-4.7,-1.425,-4.186,-4.565,-1.495,-71.03369117
500,3,1000,0,12.5,-4.9,-1.735,-4.562,-4.565,-1.595,-71.03369117
630,3,1000,0,12.5,-9.8,-2.095,-4.994,-4.565,-1.695,-71.03369117
800,3,1000,0,12.5,-12.9,-2.565,-3.471,-4.255,-3.495,-71.03369117
1000,3,1000,0,12.5,-15.3,-3.145,-4.295,-4.255,-3.395,-71.03369117
1250,3,1000,0,12.5,-17.7,-4.005,-5.386,-4.255,-2.795,-71.03369117
1600,3,1000,0,12.5,-20.8,-5.455,-6.975,-9.615,-6.695,-71.03369117
2000,3,1000,0,12.5,-24.7,-7.525,-9.595,-9.615,-7.495,-71.03369117
2500,3,1000,0,12.5,-29.3,-10.715,-13.765,-9.615,-14.795,-71.03369117
3150,3,1000,0,12.5,-36.1,-15.895,-20.393,-30.685,-18.895,-71.03369117
4000,3,1000,0,12.5,-46.6,-24.355,-30.665,-30.685,-30.595,-71.03369117
5000,3,1000,0,12.5,-62.9,-36.705,-46.843,-30.685,-42.995,-71.03369117
6300,3,1000,0,12.5,-85.6,-56.395,-71.674,-109.745,-63.895,-71.03369117
8000,3,1000,0,12.5,-119.7,-87.775,-106.384,-109.745,-89.695,-71.03369117
10000,3,1000,0,12.5,-169.3,-131.715,-109.103,-109.745,-116.895,-71.03369117
50,3,1000,90,12.5,0.2,3.005,2.937,2.875,0.705,-71.03369117
63,3,1000,90,12.5,0.3,2.995,2.903,2.875,-1.895,-71.03369117
80,3,1000,90,12.5,0.2,2.985,2.812,2.875,-3.695,-71.03369117
